slice,mask
220_98.nii.gz,mask_706.nii.gz
220_99.nii.gz,mask_972.nii.gz
220_100.nii.gz,mask_601.nii.gz
220_101.nii.gz,mask_991.nii.gz
220_102.nii.gz,mask_977.nii.gz
220_103.nii.gz,mask_804.nii.gz
220_104.nii.gz,mask_491.nii.gz
220_105.nii.gz,mask_120.nii.gz
220_106.nii.gz,mask_262.nii.gz
220_107.nii.gz,mask_540.nii.gz
220_108.nii.gz,mask_891.nii.gz
220_109.nii.gz,mask_814.nii.gz
220_110.nii.gz,mask_674.nii.gz
220_111.nii.gz,mask_857.nii.gz
220_112.nii.gz,mask_564.nii.gz
220_113.nii.gz,mask_496.nii.gz
220_114.nii.gz,mask_290.nii.gz
220_115.nii.gz,mask_968.nii.gz
220_116.nii.gz,mask_414.nii.gz
220_117.nii.gz,mask_927.nii.gz
220_118.nii.gz,mask_880.nii.gz
220_119.nii.gz,mask_25.nii.gz
220_120.nii.gz,mask_513.nii.gz
220_121.nii.gz,mask_154.nii.gz
220_122.nii.gz,mask_996.nii.gz
220_123.nii.gz,mask_620.nii.gz
220_124.nii.gz,mask_30.nii.gz
220_125.nii.gz,mask_236.nii.gz
220_126.nii.gz,mask_601.nii.gz
220_127.nii.gz,mask_966.nii.gz
220_128.nii.gz,mask_401.nii.gz
220_129.nii.gz,mask_894.nii.gz
220_130.nii.gz,mask_758.nii.gz
220_131.nii.gz,mask_77.nii.gz
220_132.nii.gz,mask_26.nii.gz
220_133.nii.gz,mask_95.nii.gz
220_134.nii.gz,mask_759.nii.gz
220_135.nii.gz,mask_103.nii.gz
220_136.nii.gz,mask_559.nii.gz
220_137.nii.gz,mask_133.nii.gz
220_138.nii.gz,mask_151.nii.gz
220_139.nii.gz,mask_889.nii.gz
220_140.nii.gz,mask_607.nii.gz
220_141.nii.gz,mask_213.nii.gz
220_142.nii.gz,mask_553.nii.gz
220_143.nii.gz,mask_732.nii.gz
220_144.nii.gz,mask_847.nii.gz
220_145.nii.gz,mask_177.nii.gz
220_146.nii.gz,mask_751.nii.gz
220_147.nii.gz,mask_181.nii.gz
220_148.nii.gz,mask_314.nii.gz
220_149.nii.gz,mask_944.nii.gz
220_150.nii.gz,mask_587.nii.gz
220_151.nii.gz,mask_120.nii.gz
220_152.nii.gz,mask_924.nii.gz
220_153.nii.gz,mask_561.nii.gz
220_154.nii.gz,mask_889.nii.gz
220_155.nii.gz,mask_109.nii.gz
220_156.nii.gz,mask_36.nii.gz
220_157.nii.gz,mask_753.nii.gz
220_158.nii.gz,mask_583.nii.gz
220_159.nii.gz,mask_852.nii.gz
220_160.nii.gz,mask_830.nii.gz
220_161.nii.gz,mask_354.nii.gz
220_162.nii.gz,mask_928.nii.gz
220_163.nii.gz,mask_468.nii.gz
220_164.nii.gz,mask_898.nii.gz
220_165.nii.gz,mask_361.nii.gz
220_166.nii.gz,mask_689.nii.gz
220_167.nii.gz,mask_317.nii.gz
220_168.nii.gz,mask_640.nii.gz
220_169.nii.gz,mask_788.nii.gz
220_170.nii.gz,mask_912.nii.gz
220_171.nii.gz,mask_540.nii.gz
220_172.nii.gz,mask_674.nii.gz
220_173.nii.gz,mask_860.nii.gz
220_174.nii.gz,mask_588.nii.gz
220_175.nii.gz,mask_947.nii.gz
220_176.nii.gz,mask_855.nii.gz
220_177.nii.gz,mask_220.nii.gz
220_178.nii.gz,mask_160.nii.gz
220_179.nii.gz,mask_594.nii.gz
220_180.nii.gz,mask_806.nii.gz
220_181.nii.gz,mask_487.nii.gz
220_182.nii.gz,mask_309.nii.gz
220_183.nii.gz,mask_527.nii.gz
220_184.nii.gz,mask_964.nii.gz
220_185.nii.gz,mask_403.nii.gz
220_186.nii.gz,mask_655.nii.gz
220_187.nii.gz,mask_599.nii.gz
220_188.nii.gz,mask_726.nii.gz
220_189.nii.gz,mask_607.nii.gz
220_190.nii.gz,mask_844.nii.gz
220_191.nii.gz,mask_966.nii.gz
220_192.nii.gz,mask_453.nii.gz
220_193.nii.gz,mask_75.nii.gz
220_194.nii.gz,mask_143.nii.gz
220_195.nii.gz,mask_887.nii.gz
220_196.nii.gz,mask_370.nii.gz
220_197.nii.gz,mask_458.nii.gz
220_198.nii.gz,mask_687.nii.gz
220_199.nii.gz,mask_154.nii.gz
220_200.nii.gz,mask_479.nii.gz
220_201.nii.gz,mask_71.nii.gz
220_202.nii.gz,mask_509.nii.gz
220_203.nii.gz,mask_746.nii.gz
220_204.nii.gz,mask_601.nii.gz
220_205.nii.gz,mask_576.nii.gz
220_206.nii.gz,mask_370.nii.gz
220_207.nii.gz,mask_984.nii.gz
220_208.nii.gz,mask_885.nii.gz
220_209.nii.gz,mask_393.nii.gz
220_210.nii.gz,mask_982.nii.gz
220_211.nii.gz,mask_662.nii.gz
220_212.nii.gz,mask_826.nii.gz
220_213.nii.gz,mask_126.nii.gz
220_214.nii.gz,mask_219.nii.gz
220_215.nii.gz,mask_559.nii.gz
220_216.nii.gz,mask_795.nii.gz
220_217.nii.gz,mask_763.nii.gz
220_218.nii.gz,mask_794.nii.gz
220_219.nii.gz,mask_472.nii.gz
220_220.nii.gz,mask_688.nii.gz
220_221.nii.gz,mask_298.nii.gz
220_222.nii.gz,mask_752.nii.gz
220_223.nii.gz,mask_634.nii.gz
220_224.nii.gz,mask_921.nii.gz
220_225.nii.gz,mask_72.nii.gz
220_226.nii.gz,mask_398.nii.gz
220_227.nii.gz,mask_723.nii.gz
220_228.nii.gz,mask_76.nii.gz
220_229.nii.gz,mask_697.nii.gz
220_230.nii.gz,mask_739.nii.gz
220_231.nii.gz,mask_857.nii.gz
220_232.nii.gz,mask_634.nii.gz
220_233.nii.gz,mask_803.nii.gz
220_234.nii.gz,mask_396.nii.gz
220_235.nii.gz,mask_655.nii.gz
220_236.nii.gz,mask_399.nii.gz
220_237.nii.gz,mask_52.nii.gz
220_238.nii.gz,mask_812.nii.gz
220_239.nii.gz,mask_894.nii.gz
220_240.nii.gz,mask_942.nii.gz
220_241.nii.gz,mask_825.nii.gz
220_242.nii.gz,mask_707.nii.gz
220_243.nii.gz,mask_523.nii.gz
220_244.nii.gz,mask_758.nii.gz
220_245.nii.gz,mask_934.nii.gz
220_246.nii.gz,mask_798.nii.gz
220_247.nii.gz,mask_564.nii.gz
220_248.nii.gz,mask_16.nii.gz
220_249.nii.gz,mask_294.nii.gz
220_250.nii.gz,mask_860.nii.gz
220_251.nii.gz,mask_199.nii.gz
220_252.nii.gz,mask_376.nii.gz
220_253.nii.gz,mask_907.nii.gz
220_254.nii.gz,mask_289.nii.gz
220_255.nii.gz,mask_118.nii.gz
220_256.nii.gz,mask_672.nii.gz
220_257.nii.gz,mask_587.nii.gz
220_258.nii.gz,mask_736.nii.gz
220_259.nii.gz,mask_340.nii.gz
220_260.nii.gz,mask_295.nii.gz
220_261.nii.gz,mask_17.nii.gz
220_262.nii.gz,mask_700.nii.gz
220_263.nii.gz,mask_447.nii.gz
220_264.nii.gz,mask_645.nii.gz
220_265.nii.gz,mask_862.nii.gz
220_266.nii.gz,mask_338.nii.gz
220_267.nii.gz,mask_495.nii.gz
220_268.nii.gz,mask_168.nii.gz
220_269.nii.gz,mask_362.nii.gz
220_270.nii.gz,mask_216.nii.gz
220_271.nii.gz,mask_587.nii.gz
220_272.nii.gz,mask_598.nii.gz
220_273.nii.gz,mask_272.nii.gz
220_274.nii.gz,mask_325.nii.gz
220_275.nii.gz,mask_276.nii.gz
220_276.nii.gz,mask_397.nii.gz
220_277.nii.gz,mask_293.nii.gz
220_278.nii.gz,mask_466.nii.gz
220_279.nii.gz,mask_300.nii.gz
220_280.nii.gz,mask_281.nii.gz
220_281.nii.gz,mask_366.nii.gz
220_282.nii.gz,mask_694.nii.gz
220_283.nii.gz,mask_355.nii.gz
220_284.nii.gz,mask_563.nii.gz
220_285.nii.gz,mask_773.nii.gz
220_286.nii.gz,mask_415.nii.gz
220_287.nii.gz,mask_799.nii.gz
220_288.nii.gz,mask_92.nii.gz
220_289.nii.gz,mask_525.nii.gz
220_290.nii.gz,mask_534.nii.gz
220_291.nii.gz,mask_271.nii.gz
220_292.nii.gz,mask_302.nii.gz
220_293.nii.gz,mask_748.nii.gz
220_294.nii.gz,mask_378.nii.gz
220_295.nii.gz,mask_945.nii.gz
220_296.nii.gz,mask_390.nii.gz
220_297.nii.gz,mask_877.nii.gz
220_298.nii.gz,mask_514.nii.gz
220_299.nii.gz,mask_110.nii.gz
220_300.nii.gz,mask_295.nii.gz
220_301.nii.gz,mask_175.nii.gz
220_302.nii.gz,mask_330.nii.gz
220_303.nii.gz,mask_604.nii.gz
220_304.nii.gz,mask_585.nii.gz
220_305.nii.gz,mask_970.nii.gz
220_306.nii.gz,mask_308.nii.gz
220_307.nii.gz,mask_3.nii.gz
220_308.nii.gz,mask_390.nii.gz
220_309.nii.gz,mask_328.nii.gz
220_310.nii.gz,mask_970.nii.gz
220_311.nii.gz,mask_718.nii.gz
220_312.nii.gz,mask_720.nii.gz
220_313.nii.gz,mask_309.nii.gz
220_314.nii.gz,mask_878.nii.gz
220_315.nii.gz,mask_26.nii.gz
220_316.nii.gz,mask_284.nii.gz
220_317.nii.gz,mask_807.nii.gz
220_318.nii.gz,mask_785.nii.gz
220_319.nii.gz,mask_842.nii.gz
220_320.nii.gz,mask_124.nii.gz
220_321.nii.gz,mask_830.nii.gz
220_322.nii.gz,mask_698.nii.gz
220_323.nii.gz,mask_273.nii.gz
220_324.nii.gz,mask_480.nii.gz
220_325.nii.gz,mask_627.nii.gz
220_326.nii.gz,mask_830.nii.gz
220_327.nii.gz,mask_857.nii.gz
220_328.nii.gz,mask_448.nii.gz
220_329.nii.gz,mask_788.nii.gz
220_330.nii.gz,mask_790.nii.gz
220_331.nii.gz,mask_985.nii.gz
220_332.nii.gz,mask_761.nii.gz
220_333.nii.gz,mask_106.nii.gz
220_334.nii.gz,mask_485.nii.gz
220_335.nii.gz,mask_970.nii.gz
220_336.nii.gz,mask_274.nii.gz
220_337.nii.gz,mask_846.nii.gz
220_338.nii.gz,mask_224.nii.gz
220_339.nii.gz,mask_77.nii.gz
220_340.nii.gz,mask_460.nii.gz
220_341.nii.gz,mask_291.nii.gz
220_342.nii.gz,mask_119.nii.gz
220_343.nii.gz,mask_659.nii.gz
220_344.nii.gz,mask_289.nii.gz
220_345.nii.gz,mask_179.nii.gz
220_346.nii.gz,mask_505.nii.gz
220_347.nii.gz,mask_827.nii.gz
220_348.nii.gz,mask_656.nii.gz
220_349.nii.gz,mask_860.nii.gz
220_350.nii.gz,mask_860.nii.gz
220_351.nii.gz,mask_630.nii.gz
220_352.nii.gz,mask_144.nii.gz
220_353.nii.gz,mask_270.nii.gz
220_354.nii.gz,mask_877.nii.gz
220_355.nii.gz,mask_612.nii.gz
220_356.nii.gz,mask_120.nii.gz
220_357.nii.gz,mask_981.nii.gz
220_358.nii.gz,mask_914.nii.gz
220_359.nii.gz,mask_139.nii.gz
220_360.nii.gz,mask_853.nii.gz
220_361.nii.gz,mask_851.nii.gz
220_362.nii.gz,mask_720.nii.gz
220_363.nii.gz,mask_116.nii.gz
220_364.nii.gz,mask_360.nii.gz
220_365.nii.gz,mask_6.nii.gz
220_366.nii.gz,mask_495.nii.gz
220_367.nii.gz,mask_998.nii.gz
220_368.nii.gz,mask_4.nii.gz
220_369.nii.gz,mask_834.nii.gz
220_370.nii.gz,mask_714.nii.gz
220_371.nii.gz,mask_728.nii.gz
220_372.nii.gz,mask_972.nii.gz
220_373.nii.gz,mask_265.nii.gz
220_374.nii.gz,mask_273.nii.gz
220_375.nii.gz,mask_846.nii.gz
220_376.nii.gz,mask_369.nii.gz
220_377.nii.gz,mask_158.nii.gz
220_378.nii.gz,mask_921.nii.gz
220_379.nii.gz,mask_940.nii.gz
220_380.nii.gz,mask_17.nii.gz
220_381.nii.gz,mask_187.nii.gz
220_382.nii.gz,mask_355.nii.gz
220_383.nii.gz,mask_600.nii.gz
220_384.nii.gz,mask_995.nii.gz
220_385.nii.gz,mask_733.nii.gz
220_386.nii.gz,mask_382.nii.gz
220_387.nii.gz,mask_377.nii.gz
220_388.nii.gz,mask_636.nii.gz
220_389.nii.gz,mask_204.nii.gz
220_390.nii.gz,mask_816.nii.gz
220_391.nii.gz,mask_796.nii.gz
220_392.nii.gz,mask_840.nii.gz
220_393.nii.gz,mask_93.nii.gz
220_394.nii.gz,mask_669.nii.gz
220_395.nii.gz,mask_37.nii.gz
220_396.nii.gz,mask_236.nii.gz
220_397.nii.gz,mask_955.nii.gz
220_398.nii.gz,mask_745.nii.gz
220_399.nii.gz,mask_426.nii.gz
220_400.nii.gz,mask_738.nii.gz
220_401.nii.gz,mask_861.nii.gz
220_402.nii.gz,mask_425.nii.gz
220_403.nii.gz,mask_77.nii.gz
220_404.nii.gz,mask_827.nii.gz
220_405.nii.gz,mask_595.nii.gz
220_406.nii.gz,mask_282.nii.gz
220_407.nii.gz,mask_164.nii.gz
220_408.nii.gz,mask_291.nii.gz
220_409.nii.gz,mask_347.nii.gz
220_410.nii.gz,mask_973.nii.gz
220_411.nii.gz,mask_956.nii.gz
220_412.nii.gz,mask_896.nii.gz
220_413.nii.gz,mask_254.nii.gz
220_414.nii.gz,mask_645.nii.gz
220_415.nii.gz,mask_761.nii.gz
220_416.nii.gz,mask_628.nii.gz
220_417.nii.gz,mask_148.nii.gz
220_418.nii.gz,mask_956.nii.gz
220_419.nii.gz,mask_755.nii.gz
220_420.nii.gz,mask_496.nii.gz
220_421.nii.gz,mask_381.nii.gz
220_422.nii.gz,mask_385.nii.gz
220_423.nii.gz,mask_925.nii.gz
220_424.nii.gz,mask_372.nii.gz
220_425.nii.gz,mask_885.nii.gz
220_426.nii.gz,mask_76.nii.gz
220_427.nii.gz,mask_678.nii.gz
220_428.nii.gz,mask_113.nii.gz
220_429.nii.gz,mask_518.nii.gz
220_430.nii.gz,mask_29.nii.gz
220_431.nii.gz,mask_890.nii.gz
220_432.nii.gz,mask_802.nii.gz
220_433.nii.gz,mask_39.nii.gz
220_434.nii.gz,mask_924.nii.gz
220_435.nii.gz,mask_697.nii.gz
220_436.nii.gz,mask_461.nii.gz
220_437.nii.gz,mask_530.nii.gz
220_438.nii.gz,mask_947.nii.gz
220_439.nii.gz,mask_986.nii.gz
220_440.nii.gz,mask_308.nii.gz
220_441.nii.gz,mask_315.nii.gz
220_442.nii.gz,mask_873.nii.gz
220_443.nii.gz,mask_119.nii.gz
220_444.nii.gz,mask_153.nii.gz
220_445.nii.gz,mask_888.nii.gz
220_446.nii.gz,mask_798.nii.gz
220_447.nii.gz,mask_710.nii.gz
220_448.nii.gz,mask_229.nii.gz
220_449.nii.gz,mask_317.nii.gz
220_450.nii.gz,mask_637.nii.gz
220_451.nii.gz,mask_921.nii.gz
220_452.nii.gz,mask_155.nii.gz
220_453.nii.gz,mask_312.nii.gz
220_454.nii.gz,mask_126.nii.gz
220_455.nii.gz,mask_205.nii.gz
220_456.nii.gz,mask_636.nii.gz
220_457.nii.gz,mask_350.nii.gz
220_458.nii.gz,mask_778.nii.gz
220_459.nii.gz,mask_895.nii.gz
220_460.nii.gz,mask_674.nii.gz
220_461.nii.gz,mask_723.nii.gz
220_462.nii.gz,mask_838.nii.gz
220_463.nii.gz,mask_725.nii.gz
220_464.nii.gz,mask_72.nii.gz
220_465.nii.gz,mask_646.nii.gz
220_466.nii.gz,mask_263.nii.gz
220_467.nii.gz,mask_904.nii.gz
220_468.nii.gz,mask_759.nii.gz
220_469.nii.gz,mask_677.nii.gz
220_470.nii.gz,mask_26.nii.gz
220_471.nii.gz,mask_401.nii.gz
220_472.nii.gz,mask_922.nii.gz
220_473.nii.gz,mask_115.nii.gz
220_474.nii.gz,mask_760.nii.gz
220_475.nii.gz,mask_359.nii.gz
220_476.nii.gz,mask_867.nii.gz
220_477.nii.gz,mask_960.nii.gz
220_478.nii.gz,mask_954.nii.gz
220_479.nii.gz,mask_811.nii.gz
220_480.nii.gz,mask_711.nii.gz
220_481.nii.gz,mask_596.nii.gz
220_482.nii.gz,mask_188.nii.gz
220_483.nii.gz,mask_929.nii.gz
220_484.nii.gz,mask_665.nii.gz
220_485.nii.gz,mask_4.nii.gz
220_486.nii.gz,mask_251.nii.gz
220_487.nii.gz,mask_194.nii.gz
220_488.nii.gz,mask_167.nii.gz
220_489.nii.gz,mask_551.nii.gz
220_490.nii.gz,mask_753.nii.gz
220_491.nii.gz,mask_313.nii.gz
220_492.nii.gz,mask_421.nii.gz
220_493.nii.gz,mask_809.nii.gz
220_494.nii.gz,mask_97.nii.gz
220_495.nii.gz,mask_297.nii.gz
220_496.nii.gz,mask_442.nii.gz
220_497.nii.gz,mask_125.nii.gz
220_498.nii.gz,mask_835.nii.gz
220_499.nii.gz,mask_999.nii.gz
250_0.nii.gz,mask_249.nii.gz
250_1.nii.gz,mask_669.nii.gz
250_2.nii.gz,mask_743.nii.gz
250_3.nii.gz,mask_343.nii.gz
250_4.nii.gz,mask_385.nii.gz
250_5.nii.gz,mask_917.nii.gz
250_6.nii.gz,mask_937.nii.gz
250_7.nii.gz,mask_705.nii.gz
250_8.nii.gz,mask_134.nii.gz
250_9.nii.gz,mask_424.nii.gz
250_10.nii.gz,mask_413.nii.gz
250_11.nii.gz,mask_676.nii.gz
250_12.nii.gz,mask_308.nii.gz
250_13.nii.gz,mask_291.nii.gz
250_14.nii.gz,mask_196.nii.gz
250_15.nii.gz,mask_143.nii.gz
250_16.nii.gz,mask_866.nii.gz
250_17.nii.gz,mask_768.nii.gz
250_18.nii.gz,mask_409.nii.gz
250_19.nii.gz,mask_433.nii.gz
250_20.nii.gz,mask_247.nii.gz
250_21.nii.gz,mask_503.nii.gz
250_22.nii.gz,mask_678.nii.gz
250_23.nii.gz,mask_829.nii.gz
250_24.nii.gz,mask_773.nii.gz
250_25.nii.gz,mask_399.nii.gz
250_26.nii.gz,mask_91.nii.gz
250_27.nii.gz,mask_657.nii.gz
250_28.nii.gz,mask_114.nii.gz
250_29.nii.gz,mask_280.nii.gz
250_30.nii.gz,mask_700.nii.gz
250_31.nii.gz,mask_514.nii.gz
250_32.nii.gz,mask_890.nii.gz
250_33.nii.gz,mask_427.nii.gz
250_34.nii.gz,mask_779.nii.gz
250_35.nii.gz,mask_324.nii.gz
250_36.nii.gz,mask_46.nii.gz
250_37.nii.gz,mask_582.nii.gz
250_38.nii.gz,mask_534.nii.gz
250_39.nii.gz,mask_593.nii.gz
250_40.nii.gz,mask_150.nii.gz
250_41.nii.gz,mask_435.nii.gz
250_42.nii.gz,mask_219.nii.gz
250_43.nii.gz,mask_606.nii.gz
250_44.nii.gz,mask_744.nii.gz
250_45.nii.gz,mask_141.nii.gz
250_46.nii.gz,mask_541.nii.gz
250_47.nii.gz,mask_608.nii.gz
250_48.nii.gz,mask_984.nii.gz
250_49.nii.gz,mask_21.nii.gz
250_50.nii.gz,mask_213.nii.gz
250_51.nii.gz,mask_715.nii.gz
250_52.nii.gz,mask_873.nii.gz
250_53.nii.gz,mask_873.nii.gz
250_54.nii.gz,mask_415.nii.gz
250_55.nii.gz,mask_130.nii.gz
250_56.nii.gz,mask_30.nii.gz
250_57.nii.gz,mask_442.nii.gz
250_58.nii.gz,mask_4.nii.gz
250_59.nii.gz,mask_28.nii.gz
250_60.nii.gz,mask_765.nii.gz
250_61.nii.gz,mask_657.nii.gz
250_62.nii.gz,mask_242.nii.gz
250_63.nii.gz,mask_105.nii.gz
250_64.nii.gz,mask_677.nii.gz
250_65.nii.gz,mask_673.nii.gz
250_66.nii.gz,mask_14.nii.gz
250_67.nii.gz,mask_755.nii.gz
250_68.nii.gz,mask_456.nii.gz
250_69.nii.gz,mask_491.nii.gz
250_70.nii.gz,mask_551.nii.gz
250_71.nii.gz,mask_92.nii.gz
250_72.nii.gz,mask_528.nii.gz
250_73.nii.gz,mask_235.nii.gz
250_74.nii.gz,mask_848.nii.gz
250_75.nii.gz,mask_737.nii.gz
250_76.nii.gz,mask_608.nii.gz
250_77.nii.gz,mask_621.nii.gz
250_78.nii.gz,mask_6.nii.gz
250_79.nii.gz,mask_455.nii.gz
250_80.nii.gz,mask_765.nii.gz
250_81.nii.gz,mask_131.nii.gz
250_82.nii.gz,mask_515.nii.gz
250_83.nii.gz,mask_359.nii.gz
250_84.nii.gz,mask_541.nii.gz
250_85.nii.gz,mask_820.nii.gz
250_86.nii.gz,mask_395.nii.gz
250_87.nii.gz,mask_174.nii.gz
250_88.nii.gz,mask_505.nii.gz
250_89.nii.gz,mask_511.nii.gz
250_90.nii.gz,mask_30.nii.gz
250_91.nii.gz,mask_422.nii.gz
250_92.nii.gz,mask_141.nii.gz
250_93.nii.gz,mask_101.nii.gz
250_94.nii.gz,mask_429.nii.gz
250_95.nii.gz,mask_93.nii.gz
250_96.nii.gz,mask_616.nii.gz
250_97.nii.gz,mask_583.nii.gz
250_98.nii.gz,mask_615.nii.gz
250_99.nii.gz,mask_549.nii.gz
250_100.nii.gz,mask_659.nii.gz
250_101.nii.gz,mask_777.nii.gz
250_102.nii.gz,mask_754.nii.gz
250_103.nii.gz,mask_19.nii.gz
250_104.nii.gz,mask_236.nii.gz
250_105.nii.gz,mask_415.nii.gz
250_106.nii.gz,mask_49.nii.gz
250_107.nii.gz,mask_114.nii.gz
250_108.nii.gz,mask_927.nii.gz
250_109.nii.gz,mask_624.nii.gz
250_110.nii.gz,mask_451.nii.gz
250_111.nii.gz,mask_64.nii.gz
250_112.nii.gz,mask_940.nii.gz
250_113.nii.gz,mask_783.nii.gz
250_114.nii.gz,mask_289.nii.gz
250_115.nii.gz,mask_621.nii.gz
250_116.nii.gz,mask_231.nii.gz
250_117.nii.gz,mask_179.nii.gz
250_118.nii.gz,mask_852.nii.gz
250_119.nii.gz,mask_771.nii.gz
250_120.nii.gz,mask_947.nii.gz
250_121.nii.gz,mask_733.nii.gz
250_122.nii.gz,mask_458.nii.gz
250_123.nii.gz,mask_81.nii.gz
250_124.nii.gz,mask_53.nii.gz
250_125.nii.gz,mask_919.nii.gz
250_126.nii.gz,mask_558.nii.gz
250_127.nii.gz,mask_332.nii.gz
250_128.nii.gz,mask_310.nii.gz
250_129.nii.gz,mask_418.nii.gz
250_130.nii.gz,mask_946.nii.gz
250_131.nii.gz,mask_953.nii.gz
250_132.nii.gz,mask_794.nii.gz
250_133.nii.gz,mask_542.nii.gz
250_134.nii.gz,mask_526.nii.gz
250_135.nii.gz,mask_414.nii.gz
250_136.nii.gz,mask_258.nii.gz
250_137.nii.gz,mask_165.nii.gz
250_138.nii.gz,mask_761.nii.gz
250_139.nii.gz,mask_509.nii.gz
250_140.nii.gz,mask_466.nii.gz
250_141.nii.gz,mask_268.nii.gz
250_142.nii.gz,mask_648.nii.gz
250_143.nii.gz,mask_67.nii.gz
250_144.nii.gz,mask_785.nii.gz
250_145.nii.gz,mask_314.nii.gz
250_146.nii.gz,mask_434.nii.gz
250_147.nii.gz,mask_783.nii.gz
250_148.nii.gz,mask_273.nii.gz
250_149.nii.gz,mask_376.nii.gz
250_150.nii.gz,mask_748.nii.gz
250_151.nii.gz,mask_150.nii.gz
250_152.nii.gz,mask_369.nii.gz
250_153.nii.gz,mask_582.nii.gz
250_154.nii.gz,mask_617.nii.gz
250_155.nii.gz,mask_893.nii.gz
250_156.nii.gz,mask_920.nii.gz
250_157.nii.gz,mask_339.nii.gz
250_158.nii.gz,mask_847.nii.gz
250_159.nii.gz,mask_719.nii.gz
250_160.nii.gz,mask_288.nii.gz
250_161.nii.gz,mask_337.nii.gz
250_162.nii.gz,mask_171.nii.gz
250_163.nii.gz,mask_151.nii.gz
250_164.nii.gz,mask_78.nii.gz
250_165.nii.gz,mask_151.nii.gz
250_166.nii.gz,mask_364.nii.gz
250_167.nii.gz,mask_416.nii.gz
250_168.nii.gz,mask_377.nii.gz
250_169.nii.gz,mask_143.nii.gz
250_170.nii.gz,mask_866.nii.gz
250_171.nii.gz,mask_687.nii.gz
250_172.nii.gz,mask_642.nii.gz
250_173.nii.gz,mask_609.nii.gz
250_174.nii.gz,mask_557.nii.gz
250_175.nii.gz,mask_185.nii.gz
250_176.nii.gz,mask_674.nii.gz
250_177.nii.gz,mask_30.nii.gz
250_178.nii.gz,mask_983.nii.gz
250_179.nii.gz,mask_835.nii.gz
250_180.nii.gz,mask_110.nii.gz
250_181.nii.gz,mask_399.nii.gz
250_182.nii.gz,mask_643.nii.gz
250_183.nii.gz,mask_876.nii.gz
250_184.nii.gz,mask_305.nii.gz
250_185.nii.gz,mask_753.nii.gz
250_186.nii.gz,mask_185.nii.gz
250_187.nii.gz,mask_20.nii.gz
250_188.nii.gz,mask_642.nii.gz
250_189.nii.gz,mask_770.nii.gz
250_190.nii.gz,mask_245.nii.gz
250_191.nii.gz,mask_653.nii.gz
250_192.nii.gz,mask_157.nii.gz
250_193.nii.gz,mask_749.nii.gz
250_194.nii.gz,mask_407.nii.gz
250_195.nii.gz,mask_720.nii.gz
250_196.nii.gz,mask_286.nii.gz
250_197.nii.gz,mask_603.nii.gz
250_198.nii.gz,mask_189.nii.gz
250_199.nii.gz,mask_651.nii.gz
250_200.nii.gz,mask_644.nii.gz
250_201.nii.gz,mask_75.nii.gz
250_202.nii.gz,mask_228.nii.gz
250_203.nii.gz,mask_396.nii.gz
250_204.nii.gz,mask_505.nii.gz
250_205.nii.gz,mask_164.nii.gz
250_206.nii.gz,mask_524.nii.gz
250_207.nii.gz,mask_318.nii.gz
250_208.nii.gz,mask_620.nii.gz
250_209.nii.gz,mask_579.nii.gz
250_210.nii.gz,mask_224.nii.gz
250_211.nii.gz,mask_21.nii.gz
250_212.nii.gz,mask_131.nii.gz
250_213.nii.gz,mask_852.nii.gz
250_214.nii.gz,mask_676.nii.gz
250_215.nii.gz,mask_353.nii.gz
250_216.nii.gz,mask_835.nii.gz
250_217.nii.gz,mask_172.nii.gz
250_218.nii.gz,mask_227.nii.gz
250_219.nii.gz,mask_377.nii.gz
250_220.nii.gz,mask_589.nii.gz
250_221.nii.gz,mask_975.nii.gz
250_222.nii.gz,mask_60.nii.gz
250_223.nii.gz,mask_7.nii.gz
250_224.nii.gz,mask_114.nii.gz
250_225.nii.gz,mask_144.nii.gz
250_226.nii.gz,mask_891.nii.gz
250_227.nii.gz,mask_608.nii.gz
250_228.nii.gz,mask_146.nii.gz
250_229.nii.gz,mask_814.nii.gz
250_230.nii.gz,mask_227.nii.gz
250_231.nii.gz,mask_955.nii.gz
250_232.nii.gz,mask_771.nii.gz
250_233.nii.gz,mask_650.nii.gz
250_234.nii.gz,mask_661.nii.gz
250_235.nii.gz,mask_913.nii.gz
250_236.nii.gz,mask_65.nii.gz
250_237.nii.gz,mask_899.nii.gz
250_238.nii.gz,mask_83.nii.gz
250_239.nii.gz,mask_443.nii.gz
250_240.nii.gz,mask_893.nii.gz
250_241.nii.gz,mask_185.nii.gz
250_242.nii.gz,mask_759.nii.gz
250_243.nii.gz,mask_405.nii.gz
250_244.nii.gz,mask_153.nii.gz
250_245.nii.gz,mask_490.nii.gz
250_246.nii.gz,mask_97.nii.gz
250_247.nii.gz,mask_476.nii.gz
250_248.nii.gz,mask_231.nii.gz
250_249.nii.gz,mask_465.nii.gz
250_250.nii.gz,mask_755.nii.gz
250_251.nii.gz,mask_196.nii.gz
250_252.nii.gz,mask_431.nii.gz
250_253.nii.gz,mask_822.nii.gz
250_254.nii.gz,mask_211.nii.gz
250_255.nii.gz,mask_59.nii.gz
250_256.nii.gz,mask_65.nii.gz
250_257.nii.gz,mask_11.nii.gz
250_258.nii.gz,mask_304.nii.gz
250_259.nii.gz,mask_477.nii.gz
250_260.nii.gz,mask_683.nii.gz
250_261.nii.gz,mask_953.nii.gz
250_262.nii.gz,mask_125.nii.gz
250_263.nii.gz,mask_22.nii.gz
